Mark;Site;Longit_d;Latit_d;Altit_d;X_m;Y_m;Z_m;Country;Section
KRU4;KURU;76.44271;40.73434;3356.301;1135152.383;4707508.002;4142303.055;Kyrgyzstan;
KRV1;KURV;73.66670;41.34403;2094.114;1349051.800;4603406.993;4192568.533;Kyrgyzstan;
KRV2;KURV;73.66670;41.34403;2094.114;1349052.523;4603406.034;4192569.318;Kyrgyzstan;
KRV4;KURV;73.66670;41.34403;2094.114;1349037.134;4603413.071;4192566.148;Kyrgyzstan;
KURV;KURV;73.66670;41.34403;2094.114;1349047.684;4603406.887;4192569.796;Kyrgyzstan;
KRV5;KURV;73.66670;41.34411;2094.520;1349035.587;4603407.496;4192573.337;Kyrgyzstan;
KUT3;KURY;76.33793;43.88715;542.642;1087576.682;4474285.679;4399439.422;Kazakhstan;
KURY;KURY;76.33846;43.89349;509.997;1087413.817;4473798.319;4399924.496;Kazakhstan;
KUT5;KURY;76.33859;43.89372;520.596;1087401.423;4473791.028;4399950.204;Kazakhstan;
KUT4;KURY;76.33863;43.89374;522.024;1087397.945;4473791.519;4399952.611;Kazakhstan;
KURT;KURY;76.33866;43.89376;523.605;1087395.451;4473791.575;4399955.538;Kazakhstan;
KUT6;KURY;76.33860;43.89379;521.724;1087399.268;4473786.884;4399956.548;Kazakhstan;
KUYT;KUYT;84.94611;44.38508;499.803;402231.861;4548255.917;4439120.245;China;
KYZ5;KYZA;75.13529;42.09169;2626.352;1216533.689;4583428.158;4254927.609;Kyrgyzstan;
KYZ6;KYZA;75.13532;42.09171;2626.523;1216531.502;4583427.448;4254929.231;Kyrgyzstan;
KYZ4;KYZA;75.13531;42.09173;2626.536;1216531.983;4583426.386;4254930.446;Kyrgyzstan;
KYZA;KYZA;75.13533;42.09174;2625.662;1216530.417;4583425.840;4254931.208;Kyrgyzstan;
KZY5;KZYL;75.97719;40.52257;3476.569;1177096.306;4713082.708;4124524.210;Kyrgyzstan;
KZY4;KZYL;75.97721;40.52257;3477.113;1177095.068;4713083.318;4124524.717;Kyrgyzstan;
KZYL;KZYL;75.97721;40.52260;3476.733;1177094.200;4713081.273;4124526.700;Kyrgyzstan;
KZZ4;KZZ4;78.31349;43.52224;697.442;938384.560;4536663.396;4370234.028;Kazakhstan;
LAM5;LAMZ;69.93315;39.77399;1775.444;1684757.749;4612082.855;4059866.139;Kyrgyzstan;
LAM4;LAMZ;69.93314;39.77404;1774.962;1684757.453;4612078.600;4059870.314;Kyrgyzstan;
LAMZ;LAMZ;69.93314;39.77404;1774.165;1684757.242;4612078.026;4059869.804;Kyrgyzstan;
MAEV;MAEV;74.75500;42.70578;1410.898;1234594.561;4529996.959;4304498.298;Kyrgyzstan;
MAD4;MAID;66.84501;38.61481;1407.295;1962647.816;4589153.071;3959875.892;Uzbekistan;
MAID;MAID;66.84500;38.61483;1406.831;1962648.644;4589151.292;3959876.826;Uzbekistan;
MAD5;MAID;66.84489;38.61487;1404.820;1962655.274;4589143.251;3959879.561;Uzbekistan;
MANM;MANM;71.68043;37.54230;2304.380;1592131.665;4808650.019;3866691.115;Tajikistan;
MAT4;MAT4;78.50114;44.22535;1528.744;912845.290;4487232.932;4427135.644;Kazakhstan;
MATA;MAT4;78.50117;44.22536;1528.344;912842.608;4487232.359;4427136.278;Kazakhstan;
MAT5;MAT4;78.50116;44.22538;1528.442;912843.249;4487230.622;4427137.963;Kazakhstan;
MAY1;MAYA;76.47833;43.15536;1079.633;1089794.030;4531757.937;4340847.146;Kazakhstan;
MAYA;MAYA;76.47836;43.15538;1081.061;1089789.498;4531758.977;4340849.274;Kazakhstan;
MAZA;MAZA;77.00521;36.57717;4968.523;1154012.888;5000654.012;3782775.000;China;
MAZ4;MAZR;70.65524;40.95764;1362.528;1598190.858;4552312.581;4159766.528;Uzbekistan;
MAZ5;MAZR;70.65527;40.95765;1362.216;1598188.412;4552312.573;4159766.980;Uzbekistan;
MAZR;MAZR;70.65529;40.95769;1361.016;1598184.982;4552310.054;4159769.251;Uzbekistan;
MDG4;MDGN;70.15725;40.03474;1725.823;1660386.542;4601126.623;4082049.625;Kyrgyzstan;
MDGN;MDGN;70.15727;40.03475;1725.837;1660384.634;4601126.332;4082050.779;Kyrgyzstan;
MDG5;MDGN;70.15733;40.03478;1725.974;1660379.625;4601125.699;4082053.676;Kyrgyzstan;
MEDE;MEDE;77.01698;43.17885;1342.749;1046782.457;4540250.150;4342931.069;Kazakhstan;
MER4;MERK;73.34125;42.52417;2767.525;1350187.037;4512203.997;4290564.058;Kazakhstan;
MKC4;MKC4;74.69929;41.32021;1759.349;1266254.394;4628419.421;4190358.491;Kyrgyzstan;
MKC5;MKC4;74.69928;41.32024;1759.339;1266254.301;4628417.222;4190360.916;Kyrgyzstan;
MKR4;MKRT;73.04515;42.24819;3130.358;1379594.752;4525199.387;4268155.146;Kyrgyzstan;
MNG4;MNG4;79.32290;42.75691;2286.047;869306.406;4610774.101;4309264.565;Kazakhstan;
MNJ4;MNJ4;79.32290;42.75691;2286.029;869306.639;4610774.106;4309264.506;Kazakhstan;
MOLD;MOLD;75.03781;41.66880;3198.520;1232539.859;4612070.720;4220321.690;Kyrgyzstan;
MOL4;MOLD;75.03775;41.66883;3198.506;1232543.695;4612067.304;4220324.060;Kyrgyzstan;
MOL5;MOLD;75.03775;41.66883;3198.580;1232543.672;4612067.840;4220323.733;Kyrgyzstan;
MOL6;MOLD;75.03778;41.66884;3198.488;1232541.349;4612067.639;4220324.492;Kyrgyzstan;
MUD4;MUDU;76.57224;41.12860;3345.583;1117840.508;4682139.046;4175391.337;Kyrgyzstan;
MUDU;MUDU;76.57224;41.12864;3344.987;1117839.263;4682135.492;4175394.714;Kyrgyzstan;
MUJI;MUJI;74.42651;39.02385;3507.172;1332809.773;4782127.346;3996582.268;China;
MUN4;MUN4;78.11204;42.43856;1741.227;971397.126;4614411.722;4282855.435;Kyrgyzstan;
MUST;MUST;73.31787;42.17493;2567.053;1359476.331;4536591.156;4261786.555;Kyrgyzstan;
MUS4;MUST;73.31821;42.17504;2616.735;1359471.426;4536589.821;4261789.590;Kyrgyzstan;
NAM5;NAM4;71.07386;40.70839;326.517;1570503.890;4580251.024;4138141.208;Uzbekistan;
NAM4;NAM4;71.07390;40.70843;326.335;1570500.130;4580249.201;4138144.354;Uzbekistan;
NANA;NANA;84.29424;43.26836;1606.633;462574.608;4629688.143;4350359.090;China;
NARY;NARY;76.25457;41.44549;2190.765;1138056.907;4652460.080;4201085.351;Kyrgyzstan;
NAR7;NARY;76.25459;41.44550;2190.563;1138054.627;4652458.697;4201087.282;Kyrgyzstan;
NAR5;NARY;76.25462;41.44550;2190.793;1138052.672;4652460.088;4201086.602;Kyrgyzstan;
NAR4;NARY;76.25460;41.44553;2191.648;1138053.963;4652458.023;4201089.856;Kyrgyzstan;
NAR6;NARY;76.25449;41.44554;2189.251;1138061.920;4652453.691;4201088.825;Kyrgyzstan;
NBA4;NBAN;79.99987;42.59917;2178.614;816819.338;4632347.724;4296304.424;Kazakhstan;
NIUJ;NIUJ;85.55475;43.93785;1415.946;356629.558;4587448.796;4404104.203;China;
NJK4;NJK4;77.94606;42.24806;1899.415;987762.194;4625635.791;4267317.034;Kyrgyzstan;
NJT4;NJT4;78.23824;42.40556;2075.811;961785.133;4619203.918;4280374.080;Kyrgyzstan;
NKR4;NKRA;79.20992;42.66455;2198.885;879688.512;4615826.765;4301663.744;Kyrgyzstan;
NKU4;NKUR;78.28418;43.01338;1761.588;948732.143;4574889.641;4329790.689;Kazakhstan;
NRK5;NRKK;74.68948;41.82022;2358.694;1257432.005;4593083.021;4232316.397;Kyrgyzstan;
NRK4;NRKK;74.68952;41.82023;2358.484;1257428.795;4593083.191;4232316.850;Kyrgyzstan;
NRKK;NRKK;74.68966;41.82027;2351.861;1257415.369;4593078.966;4232315.488;Kyrgyzstan;
NRK6;NRKK;74.68970;41.82028;2350.820;1257412.229;4593078.186;4232315.644;Kyrgyzstan;
NSBK;NSBK;73.76300;40.87958;1590.237;1350678.168;4637881.201;4153362.081;Kyrgyzstan;
NSB6;NSBK;73.76287;40.87964;1587.171;1350686.340;4637871.901;4153365.006;Kyrgyzstan;
NSB4;NSBK;73.76286;40.87965;1586.892;1350686.918;4637871.004;4153365.394;Kyrgyzstan;
NSB5;NSBK;73.76289;40.87967;1587.230;1350684.249;4637870.698;4153367.108;Kyrgyzstan;
NSO4;NSO4;74.29195;42.80462;860.098;1269035.912;4512304.757;4312186.681;Kyrgyzstan;
NSO5;NSO4;74.29197;42.80465;859.710;1269033.423;4512302.525;4312189.154;Kyrgyzstan;
NTE4;NTEM;79.20995;43.13847;1905.293;872933.911;4580398.856;4340042.139;Kazakhstan;
NTP4;NTP4;78.37423;42.68404;1640.750;946538.063;4600665.618;4302877.862;Kyrgyzstan;
