Mark;Site;Longit_d;Latit_d;Altit_m;X_m;Y_m;Z_m;Country
BAY4;BAYB;75.08282;41.0793;3267.48942;1240074.81;4654924.526;4171212.674;Kyrgyzstan
BAY5;BAYB;75.08283;41.07934;3266.95367;1240072.763;4654921.462;4171215.865;Kyrgyzstan
BAY6;BAYB;75.08282;41.07939;3266.08915;1240072.36;4654917.165;4171219.425;Kyrgyzstan
BAYB;BAYB;75.08282;41.07939;3265.93688;1240072.983;4654917.333;4171218.878;Kyrgyzstan
BAYS;BAYS;67.16548;38.2065;1346.76893;1947861.585;4625974.669;3924313.902;Uzbekistan
BEA4;BEA4;70.54476;40.49858;327.3258;1617785.23;4579847.519;4120455.864;Uzbekistan
BELB;BELB;76.46828;41.81982;3326.25392;1114428.773;4630631.738;4232927.962;Kyrgyzstan
BER4;BERI;75.65722;42.95729;1966.27451;1158506.465;4530861.39;4325369.906;Kazakhstan
BES4;BESH;75.79496;42.81776;1266.91826;1150074.176;4543365.34;4313534.814;Kyrgyzstan
BESH;BESH;75.79483;42.81782;1267.24306;1150083.035;4543359.104;4313539.305;Kyrgyzstan
BET4;BETJ;75.03005;40.64641;3276.28362;1252491.745;4684187.093;4134842.919;Kyrgyzstan
BET5;BETJ;75.03014;40.6464;3275.81648;1252484.469;4684189.269;4134841.945;Kyrgyzstan
BET6;BETJ;75.03012;40.64641;3275.98345;1252486.018;4684188.442;4134842.682;Kyrgyzstan
BETJ;BETJ;75.0301;40.64641;3276.13207;1252487.428;4684188.221;4134842.786;Kyrgyzstan
BIEN;BIEN;79.41556;45.1365;1464.26703;828028.4609;4431183.97;4499100.097;Kazakhstan
BIN4;BIEN;79.41555;45.13648;1464.44777;828029.6802;4431185.453;4499098.612;Kazakhstan
BIN5;BIEN;79.4156;45.13651;1464.12765;828025.4333;4431184.039;4499100.353;Kazakhstan
BKE4;BKEL;75.42571;40.75725;3585.0108;1218152.976;4685178.527;4144380.525;Kyrgyzstan
BKE5;BKEL;75.42566;40.75723;3584.61778;1218157.263;4685178.429;4144378.775;Kyrgyzstan
BKEL;BKEL;75.42573;40.75726;3584.86237;1218150.504;4685178.063;4144381.535;Kyrgyzstan
BOK4;BOKT;73.2117;42.7675;1443.83539;1354813.002;4490669.482;4309556.904;Kazakhstan
BOL4;BORL;83.98376;49.03811;350.84682;439099.2411;4166390.708;4793603.205;Kazakhstan
BOL5;BORL;83.98372;49.03809;350.83359;439102.7182;4166392.093;4793601.676;Kazakhstan
BOM4;BOM4;77.0324;42.13879;1657.71515;1063184.958;4617068.706;4258160.024;Kyrgyzstan
